iter	Passed	Remaining
429	1509	2000
430	1513	1997
431	1515	1992
432	1518	1988
433	1521	1983
434	1523	1979
435	1526	1974
436	1528	1969
437	1531	1964
438	1533	1960
439	1536	1955
440	1539	1951
441	1541	1946
442	1544	1941
443	1546	1936
444	1548	1931
445	1551	1927
446	1554	1922
447	1556	1918
448	1559	1913
449	1561	1908
450	1564	1904
451	1567	1899
452	1569	1895
453	1572	1891
454	1575	1886
455	1577	1881
456	1579	1877
457	1582	1872
458	1585	1868
459	1587	1863
460	1590	1859
461	1592	1854
462	1595	1850
463	1597	1845
464	1600	1841
465	1602	1836
466	1605	1832
467	1608	1828
468	1610	1823
469	1613	1819
470	1616	1815
471	1618	1810
472	1622	1807
473	1628	1806
474	1631	1803
475	1636	1801
476	1640	1798
477	1644	1795
478	1646	1791
479	1649	1787
480	1652	1783
481	1655	1778
482	1658	1774
483	1661	1770
484	1664	1766
485	1667	1763
486	1670	1759
487	1672	1755
488	1676	1751
489	1679	1747
490	1682	1743
491	1684	1739
492	1687	1735
493	1690	1731
494	1692	1727
495	1695	1722
496	1697	1718
497	1700	1713
498	1702	1709
499	1707	1707
500	1710	1703
501	1712	1699
502	1715	1695
503	1720	1692
504	1723	1689
505	1726	1685
506	1729	1681
507	1731	1677
508	1735	1673
509	1737	1669
510	1740	1665
511	1742	1660
512	1745	1656
513	1748	1653
514	1750	1648
515	1753	1644
516	1755	1640
517	1758	1636
518	1761	1632
519	1763	1628
520	1767	1624
521	1769	1620
522	1772	1616
523	1775	1612
524	1777	1608
525	1780	1604
526	1782	1600
527	1785	1595
528	1787	1591
529	1790	1587
530	1792	1583
531	1795	1579
532	1797	1575
533	1800	1570
534	1802	1566
535	1805	1562
536	1808	1558
537	1810	1554
538	1812	1550
539	1815	1546
540	1817	1542
541	1820	1538
542	1822	1534
543	1825	1530
544	1827	1525
545	1830	1522
546	1833	1518
547	1836	1514
548	1838	1510
549	1841	1506
550	1844	1502
551	1847	1499
552	1859	1503
553	1864	1500
554	1868	1498
555	1871	1494
556	1874	1491
557	1877	1487
558	1880	1483
559	1884	1480
560	1891	1480
561	1895	1476
562	1899	1474
563	1903	1471
564	1907	1468
565	1913	1467
566	1918	1464
567	1921	1461
568	1923	1456
569	1925	1452
570	1928	1449
571	1931	1445
572	1933	1441
573	1936	1437
574	1938	1433
575	1941	1429
576	1943	1425
577	1946	1421
578	1949	1417
579	1952	1413
580	1954	1409
581	1957	1405
582	1960	1402
583	1962	1398
584	1965	1394
585	1967	1390
586	1970	1386
587	1974	1383
588	1977	1380
589	1980	1376
590	1983	1372
591	1985	1368
592	1988	1364
593	1991	1361
594	1993	1357
595	1996	1353
596	1998	1349
597	2002	1346
598	2006	1343
599	2009	1339
600	2012	1335
601	2015	1332
602	2018	1329
603	2021	1325
604	2024	1321
605	2026	1317
606	2030	1314
607	2034	1311
608	2037	1308
609	2040	1304
610	2042	1300
611	2045	1296
612	2047	1292
613	2050	1289
614	2052	1285
615	2055	1281
616	2057	1277
617	2060	1273
618	2063	1269
619	2065	1266
620	2068	1262
621	2070	1258
622	2073	1254
623	2076	1251
624	2078	1247
625	2081	1243
626	2083	1239
627	2087	1236
628	2094	1235
629	2098	1232
630	2101	1229
631	2105	1225
632	2107	1222
633	2110	1218
634	2113	1214
635	2117	1211
636	2120	1208
637	2123	1204
638	2126	1201
639	2129	1197
640	2131	1193
641	2134	1190
642	2137	1186
643	2140	1183
644	2143	1179
645	2146	1176
646	2149	1172
647	2151	1168
648	2154	1165
649	2157	1161
650	2163	1159
651	2166	1156
652	2169	1152
653	2172	1149
654	2175	1145
655	2177	1141
656	2180	1138
657	2184	1135
658	2187	1131
659	2190	1128
660	2193	1124
661	2196	1121
662	2200	1118
663	2203	1115
664	2206	1111
665	2208	1107
666	2211	1104
667	2214	1100
668	2217	1097
669	2219	1093
670	2222	1089
671	2224	1085
672	2227	1082
673	2230	1078
674	2232	1075
675	2235	1071
676	2238	1068
677	2241	1064
678	2244	1061
679	2247	1057
680	2249	1053
681	2252	1050
682	2254	1046
683	2257	1043
684	2260	1039
685	2262	1035
686	2265	1031
687	2267	1028
688	2270	1024
689	2276	1022
690	2279	1019
691	2283	1016
692	2286	1012
693	2289	1009
694	2292	1005
695	2294	1002
696	2298	999
697	2302	996
698	2305	992
699	2309	989
700	2311	986
701	2314	982
702	2316	978
703	2319	975
704	2321	971
705	2323	967
706	2326	964
707	2328	960
708	2331	957
709	2334	953
710	2337	949
711	2339	946
712	2342	942
713	2345	939
714	2347	935
715	2350	932
716	2354	929
717	2356	925
718	2359	921
719	2361	918
720	2364	914
721	2367	911
722	2370	908
723	2378	906
724	2381	903
725	2385	900
726	2388	896
727	2391	893
728	2396	890
729	2400	887
730	2403	884
731	2406	880
732	2408	877
733	2412	874
734	2414	870
735	2417	867
736	2420	863
737	2426	861
738	2429	857
739	2432	854
740	2434	851
741	2437	847
742	2441	844
743	2444	840
744	2446	837
745	2448	833
746	2451	830
747	2454	826
748	2456	823
749	2459	819
750	2461	816
751	2464	812
752	2466	809
753	2469	805
754	2471	802
755	2473	798
756	2476	794
757	2478	791
758	2481	787
759	2483	784
760	2486	780
761	2488	777
762	2491	773
763	2493	770
764	2496	766
765	2498	763
766	2501	759
767	2503	756
768	2505	752
769	2508	749
770	2511	745
771	2513	742
772	2516	738
773	2518	735
774	2521	732
775	2524	728
776	2526	725
777	2529	721
778	2531	718
779	2534	714
780	2536	711
781	2539	707
782	2541	704
783	2544	701
784	2546	697
785	2549	694
786	2552	690
787	2554	687
788	2557	683
789	2559	680
790	2562	676
791	2565	673
792	2584	674
793	2587	671
794	2590	667
795	2594	665
796	2598	661
797	2602	658
798	2605	655
799	2609	652
800	2611	648
801	2614	645
802	2617	642
803	2622	639
804	2624	635
805	2627	632
806	2629	628
807	2632	625
808	2635	622
809	2638	618
810	2640	615
811	2643	612
812	2646	608
813	2649	605
814	2652	602
815	2655	598
816	2658	595
817	2660	591
818	2663	588
819	2666	585
820	2668	581
821	2670	578
822	2673	574
823	2676	571
824	2679	568
825	2681	564
826	2683	561
827	2686	558
828	2689	554
829	2692	551
830	2694	547
831	2697	544
832	2699	541
833	2701	537
834	2704	534
835	2707	531
836	2709	527
837	2711	524
838	2714	520
839	2716	517
840	2719	514
841	2721	510
842	2724	507
843	2726	503
844	2728	500
845	2731	497
846	2733	493
847	2736	490
848	2738	487
849	2741	483
850	2744	480
851	2746	477
852	2749	473
853	2751	470
854	2754	467
855	2756	463
856	2759	460
857	2761	457
858	2764	453
859	2766	450
860	2769	447
861	2771	443
862	2774	440
863	2776	437
864	2779	433
865	2781	430
866	2784	427
867	2786	423
868	2789	420
869	2791	417
870	2794	413
871	2797	410
872	2799	407
873	2802	404
874	2805	400
875	2808	397
876	2812	394
877	2816	391
878	2863	394
879	2870	391
880	2876	388
881	2879	385
882	2882	381
883	2885	378
884	2889	375
885	2893	372
886	2896	368
887	2899	365
888	2901	362
889	2904	358
890	2906	355
891	2909	352
892	2911	348
893	2914	345
894	2917	342
895	2919	338
896	2922	335
897	2925	332
898	2927	328
899	2930	325
900	2933	322
901	2936	319
902	2939	315
903	2942	312
904	2945	309
905	2947	305
906	2950	302
907	2952	299
908	2955	295
909	2957	292
910	2960	289
911	2962	285
912	2965	282
913	2967	279
914	2970	275
915	2972	272
916	2975	269
917	2977	266
918	2980	262
919	2982	259
920	2984	256
921	2987	252
922	2990	249
923	2992	246
924	2995	242
925	2997	239
926	2999	236
927	3002	232
928	3004	229
929	3007	226
930	3010	223
931	3012	219
932	3015	216
933	3017	213
934	3019	209
935	3022	206
936	3024	203
937	3026	200
938	3029	196
939	3032	193
940	3034	190
941	3036	186
942	3039	183
943	3042	180
944	3044	177
945	3047	173
946	3049	170
947	3052	167
948	3054	164
949	3058	160
950	3061	157
951	3065	154
952	3068	151
953	3070	148
954	3073	144
955	3075	141
956	3077	138
957	3080	135
958	3083	131
959	3085	128
960	3088	125
961	3090	122
962	3093	118
963	3095	115
964	3098	112
965	3100	109
966	3102	105
967	3105	102
968	3107	99
969	3110	96
970	3113	92
971	3136	90
972	3139	87
973	3144	83
974	3147	80
975	3150	77
976	3154	74
977	3161	71
978	3166	67
979	3170	64
980	3173	61
981	3176	58
982	3179	54
983	3181	51
984	3183	48
985	3186	45
986	3189	42
987	3191	38
988	3194	35
989	3196	32
990	3199	29
991	3201	25
992	3204	22
993	3206	19
994	3209	16
995	3211	12
996	3214	9
997	3217	6
998	3220	3
999	3223	0
